distribution,distribution_label,hours_to_pep,mean_efficacy,median_efficacy,ci_95_lower,ci_95_upper,ci_50_lower,ci_50_upper,ci_95_width,p_below_50pct,p_below_30pct,p_futile
pwid_mixed_treatment,PWID (mixed treatment status),112.65,0.0001,0.0,0.0,0.0007,0.0,0.0002,0.0007,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),115.1,0.0001,0.0,0.0,0.0004,0.0,0.0001,0.0004,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),117.55,0.0001,0.0,0.0,0.0003,0.0,0.0001,0.0003,1.0,1.0,1.0
pwid_mixed_treatment,PWID (mixed treatment status),120.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,1.0,1.0,1.0
general_community,General HIV+ community,0.0,0.9804,0.9833,0.9504,0.9922,0.9768,0.9878,0.0418,0.0,0.0,0.0
general_community,General HIV+ community,2.45,0.9744,0.9783,0.933,0.9909,0.9691,0.9847,0.0579,0.0,0.0,0.0
general_community,General HIV+ community,4.9,0.966,0.9713,0.9101,0.9891,0.9585,0.9803,0.079,0.0,0.0,0.0
general_community,General HIV+ community,7.35,0.9547,0.9614,0.881,0.9865,0.9439,0.974,0.1056,0.0,0.0,0.0
general_community,General HIV+ community,9.8,0.9396,0.9479,0.8454,0.9829,0.9245,0.9652,0.1375,0.0,0.0,0.0
general_community,General HIV+ community,12.24,0.9201,0.9298,0.804,0.9777,0.8992,0.9531,0.1737,0.0,0.0,0.0
general_community,General HIV+ community,14.69,0.8957,0.906,0.7586,0.9703,0.8676,0.9367,0.2117,0.0,0.0,0.0
general_community,General HIV+ community,17.14,0.866,0.876,0.7117,0.9602,0.8298,0.915,0.2485,0.0,0.0,0.0
general_community,General HIV+ community,19.59,0.8314,0.8397,0.6658,0.9462,0.787,0.8872,0.2805,0.0,0.0,0.0
general_community,General HIV+ community,22.04,0.7928,0.7981,0.6227,0.9275,0.7416,0.8531,0.3048,0.0,0.0,0.0
general_community,General HIV+ community,24.49,0.7516,0.7532,0.583,0.9031,0.6962,0.8132,0.3201,0.0,0.0,0.0
general_community,General HIV+ community,26.94,0.7096,0.7078,0.5458,0.8724,0.6537,0.7692,0.3266,0.0106,0.0,0.0
general_community,General HIV+ community,29.39,0.6686,0.6647,0.5086,0.8355,0.6157,0.7237,0.3269,0.0208,0.0,0.0
