city,state,late_dx_pct,retention,delta_t_struct_h,delta_t_pharmacy_h,delta_t_total_h,E_PEP_R3,past_t_crit
KansasCity,Missouri,16.7,0.789,4.3,2,6.3,0.9767162095136813,False
KansasCity,Missouri,16.7,0.789,4.3,4,8.3,0.9752078768137938,False
KansasCity,Missouri,16.7,0.789,4.3,6,10.3,0.9736549472366973,False
KansasCity,Missouri,16.7,0.789,4.3,8,12.3,0.9724977193343511,False
KansasCity,Missouri,16.7,0.789,4.3,10,14.3,0.9710661435520055,False
KansasCity,Missouri,16.7,0.789,4.3,12,16.3,0.9692482416467108,False
Atlanta,Georgia,19.4,0.779,5.0,0,5.0,0.9776044264243393,False
Atlanta,Georgia,19.4,0.779,5.0,2,7.0,0.9762092277704744,False
Atlanta,Georgia,19.4,0.779,5.0,4,9.0,0.9746454053064727,False
Atlanta,Georgia,19.4,0.779,5.0,6,11.0,0.9732637399930802,False
Atlanta,Georgia,19.4,0.779,5.0,8,13.0,0.9720371728115219,False
Atlanta,Georgia,19.4,0.779,5.0,10,15.0,0.9704822527484421,False
Atlanta,Georgia,19.4,0.779,5.0,12,17.0,0.9685035940513438,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,0,5.5,0.9772719390011452,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,2,7.5,0.9758328627400124,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,4,9.5,0.9742397540610144,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,6,11.5,0.9729839053523568,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,8,13.5,0.9716823360436557,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,10,15.5,0.9700319119607596,False
NewOrleans,Louisiana,17.5,0.8009999999999999,5.5,12,17.5,0.9679273324647892,False
Tampa,Florida,20.0,0.763,5.7,0,5.7,0.9771346529689842,False
Tampa,Florida,20.0,0.763,5.7,2,7.7,0.9756780551871467,False
Tampa,Florida,20.0,0.763,5.7,4,9.7,0.9740824555219658,False
Tampa,Florida,20.0,0.763,5.7,6,11.7,0.9728650854031045,False
Tampa,Florida,20.0,0.763,5.7,8,13.7,0.9715317432132469,False
Tampa,Florida,20.0,0.763,5.7,10,15.7,0.9698405246928598,False
