realization_idx,V0,log10_V0,outcome,extincted,integrated,T_int_hours,handoff_time_hours
60,3,0.47712125471966244,integrated,False,True,56.771681028574775,45.35999999999766
61,3,0.47712125471966244,integrated,False,True,55.36476145785376,44.279999999997784
62,3,0.47712125471966244,extinct,True,False,,
63,3,0.47712125471966244,extinct,True,False,,
64,3,0.47712125471966244,integrated,False,True,54.29091986965596,43.991999999997816
65,3,0.47712125471966244,integrated,False,True,54.88992467312907,43.91999999999782
66,3,0.47712125471966244,integrated,False,True,54.972713841413594,43.991999999997816
67,3,0.47712125471966244,integrated,False,True,55.29988398476178,44.279999999997784
68,3,0.47712125471966244,integrated,False,True,54.48782096769085,43.991999999997816
69,3,0.47712125471966244,integrated,False,True,54.723779131905424,44.25599999999778
70,3,0.47712125471966244,integrated,False,True,54.96258759025641,44.01599999999781
71,3,0.47712125471966244,integrated,False,True,54.30682534581794,43.871999999997826
72,3,0.47712125471966244,integrated,False,True,54.68040143157376,43.82399999999783
73,3,0.47712125471966244,integrated,False,True,54.513392969591834,44.03999999999781
74,3,0.47712125471966244,integrated,False,True,55.129264785980894,44.1119999999978
75,3,0.47712125471966244,integrated,False,True,55.162295199756684,44.25599999999778
76,3,0.47712125471966244,extinct,True,False,,
77,3,0.47712125471966244,integrated,False,True,57.28417900925561,45.40799999999766
78,3,0.47712125471966244,integrated,False,True,55.892190299829174,44.47199999999776
79,3,0.47712125471966244,integrated,False,True,54.780920204123575,44.279999999997784
80,3,0.47712125471966244,integrated,False,True,54.73096936665768,43.75199999999784
81,3,0.47712125471966244,integrated,False,True,55.46138506438299,43.967999999997815
82,3,0.47712125471966244,integrated,False,True,54.11824210422603,43.91999999999782
83,3,0.47712125471966244,integrated,False,True,54.666393658993016,44.01599999999781
84,3,0.47712125471966244,integrated,False,True,54.571625017018604,43.84799999999783
85,3,0.47712125471966244,integrated,False,True,54.460208286606985,44.279999999997784
86,3,0.47712125471966244,integrated,False,True,55.17970367912029,44.51999999999776
87,3,0.47712125471966244,integrated,False,True,55.56449248686185,44.63999999999774
88,3,0.47712125471966244,integrated,False,True,55.48093064321246,44.42399999999777
89,3,0.47712125471966244,integrated,False,True,54.81839169913208,43.94399999999782
90,3,0.47712125471966244,integrated,False,True,54.244120625626536,43.67999999999785
91,3,0.47712125471966244,integrated,False,True,54.30343118593587,43.79999999999784
92,3,0.47712125471966244,integrated,False,True,56.45185970687534,45.52799999999765
93,3,0.47712125471966244,integrated,False,True,54.95961202568983,44.087999999997805
94,3,0.47712125471966244,integrated,False,True,55.3900381661542,43.84799999999783
95,3,0.47712125471966244,integrated,False,True,54.615022279953266,43.94399999999782
96,3,0.47712125471966244,integrated,False,True,54.43149098847337,43.991999999997816
97,3,0.47712125471966244,integrated,False,True,56.83106217314949,45.887999999997604
98,3,0.47712125471966244,integrated,False,True,54.62141437637872,44.1359999999978
99,3,0.47712125471966244,extinct,True,False,,
100,3,0.47712125471966244,integrated,False,True,53.95133287126576,43.775999999997836
101,3,0.47712125471966244,integrated,False,True,54.95344990636175,44.47199999999776
102,3,0.47712125471966244,integrated,False,True,54.21977682781801,44.01599999999781
103,3,0.47712125471966244,extinct,True,False,,
104,3,0.47712125471966244,integrated,False,True,54.59331478654509,44.063999999997804
105,3,0.47712125471966244,integrated,False,True,55.8869851530484,44.85599999999772
106,3,0.47712125471966244,extinct,True,False,,
107,3,0.47712125471966244,integrated,False,True,54.83330280289536,44.35199999999777
108,3,0.47712125471966244,extinct,True,False,,
109,3,0.47712125471966244,integrated,False,True,55.024003887048536,44.063999999997804
110,3,0.47712125471966244,integrated,False,True,55.27370978342878,44.32799999999778
111,3,0.47712125471966244,integrated,False,True,55.36610779432315,44.375999999997774
112,3,0.47712125471966244,integrated,False,True,55.59760212918313,44.39999999999777
113,3,0.47712125471966244,integrated,False,True,56.326521265704685,45.33599999999767
114,3,0.47712125471966244,integrated,False,True,54.93425612134891,44.1359999999978
115,3,0.47712125471966244,integrated,False,True,54.4468200553696,43.72799999999784
116,3,0.47712125471966244,integrated,False,True,55.82230263501658,44.183999999997795
117,3,0.47712125471966244,integrated,False,True,54.604110771362976,43.70399999999785
118,3,0.47712125471966244,integrated,False,True,55.06928371913719,43.89599999999783
119,3,0.47712125471966244,integrated,False,True,55.40820429621424,44.44799999999776
