time_h,E_PEP_V0_1,P_int_V0_1,E_PEP_V0_3,P_int_V0_3,E_PEP_V0_10,P_int_V0_10,E_PEP_V0_30,P_int_V0_30,E_PEP_V0_100,P_int_V0_100,E_PEP_V0_300,P_int_V0_300,E_PEP_V0_1000,P_int_V0_1000,E_PEP_V0_3000,P_int_V0_3000,E_PEP_V0_10000,P_int_V0_10000
37.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
37.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
38.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
38.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
39.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
39.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
40.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
40.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
41.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
41.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
42.0,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
42.5,0.95,0.0,0.95,0.0,0.95,0.0,0.7638,0.196,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
